card_name,Image Link,Know More Link,Joining Fee,Renewal Fee,Best Suited For,Reward Type,Welcome Benefits
Axis Bank Horizon Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2024/06/Axis-Bank-Horizon-Credit-Card.webp,https://cardinsider.com/axis-bank/axis-bank-horizon-credit-card/,"Joining Fee     Rs. 3,000 + GST        Renewal Fee     Rs. 3,000 + GST    Best Suited For  Travel  Reward Type Reward Points Welcome Benefits  5000 EDGE Miles on Spends of ₹1,000 Within the First 30 Days of Card Issuance","Rs. 3,000 + GST",Travel,Reward Points,"5000 EDGE Miles on Spends of ₹1,000 Within the First 30 Days of Card Issuance"
Axis Bank Cashback Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2024/06/Axis-Bank-Cashback-Credit-Card.webp,https://cardinsider.com/axis-bank/axis-bank-cashback-credit-card/,"Joining Fee     ₹1,000 + GST       Renewal Fee      ₹1,000 + GST    Best Suited For  Shopping  Reward Type Cashback Welcome Benefits  5,000 EDGE Reward Points on Making the First Transaction Within 30 Days","₹1,000 + GST",Shopping,Cashback,"5,000 EDGE Reward Points on Making the First Transaction Within 30 Days"
Axis Bank KWIK RuPay Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2023/06/Axis-Bank-KWIK-RuPay-Credit-Card.webp,https://cardinsider.com/axis-bank/axis-bank-kwik-rupay-credit-card/,Joining Fee     Nil       Renewal Fee     Nil    Best Suited For  Shopping  Reward Type Reward Points Welcome Benefits  NA,Nil,Shopping,Reward Points,NA
Axis Bank Shoppers Stop Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2024/04/Axis-Bank-Shoppers-Stop-Credit-Card.webp,https://cardinsider.com/axis-bank/axis-bank-shoppers-stop-credit-card/,"Joining Fee     ₹500 + GST       Renewal Fee     ₹500 + GST    Best Suited For  Shopping  Reward Type Reward Points Welcome Benefits  First Citizen Reward Points Worth ₹300, Shoppers Stop Vouchers Worth ₹2,250, and Complimentary Shoppers Stop Golden Glow Membership",₹500 + GST,Shopping,Reward Points,"First Citizen Reward Points Worth ₹300, Shoppers Stop Vouchers Worth ₹2,250, and Complimentary Shoppers Stop Golden Glow Membership"
Fibe Axis Bank RuPay Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2023/10/Fibe-Axis-Bank-RuPay-Credit-Card.webp,https://cardinsider.com/axis-bank/fibe-axis-bank-rupay-credit-card/,Joining Fee     Nil       Renewal Fee     Nil    Best Suited For  Shopping  Reward Type Cashback Welcome Benefits  NA,Nil,Add to Compare,Add to Compare,NA
Axis Bank Freecharge Plus Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2022/02/Axis-Bank-Freecharge-Plus-Credit-Card.webp,https://cardinsider.com/axis-bank/axis-bank-freecharge-plus-credit-card/,Joining Fee     Nil       Renewal Fee     Rs. 350 + GST    Best Suited For  Shopping  Reward Type Cashback Welcome Benefits  N/A,Nil,Add to Compare,Add to Compare,N/A
IKEA Family Credit Card by Axis Bank,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2024/06/IKEA-Family-Credit-Card-by-Axis-Bank.webp,https://cardinsider.com/axis-bank/ikea-family-credit-card-by-axis-bank/,Joining Fee     Nil       Renewal Fee     Nil    Best Suited For  Shopping  Reward Type Reward Points Welcome Benefits  None,Nil,Add to Compare,Add to Compare,None
Axis Bank Freecharge Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/08/Axis-Bank-Freecharge-Plus-Credit-Card.webp,https://cardinsider.com/axis-bank/axis-bank-freecharge-credit-card/,Joining Fee     Rs. 250 + GST       Renewal Fee     Rs. 250 + GST    Best Suited For  Shopping  Reward Type Reward Points Welcome Benefits  N/A,Rs. 250 + GST,Add to Compare,Add to Compare,N/A
Axis Bank Miles & More Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/08/Axis-Bank-Miles-More-Credit-Card.webp,https://cardinsider.com/axis-bank/axis-bank-miles-more-credit-card/,"Joining Fee     Rs. 10,000 + GST for Miles & More Select Credit Card & Rs. 3,000 + GST for Miles & More World Credit Card       Renewal Fee     Rs. 4,500 + GST for Axis Bank Miles & More Select Credit Card & Rs. 3,500 + GST for Axis Bank Miles & More World Credit Card    Best Suited For  Travel  Reward Type Reward Points Welcome Benefits  15,000 miles on Axis Bank Miles & More Select Credit Card and 5,000 miles on Axis Bank Miles & More World Credit Card","Rs. 10,000 + GST for Miles & More Select Credit Card & Rs. 3,000 + GST for Miles & More World Credit Card",Add to Compare,Add to Compare,"15,000 miles on Axis Bank Miles & More Select Credit Card and 5,000 miles on Axis Bank Miles & More World Credit Card"
Flipkart Axis Bank Super Elite Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2022/11/Axis-Bank-Super-Elite-Credit-Card.webp,https://cardinsider.com/axis-bank/flipkart-axis-bank-super-elite-credit-card/,"Joining Fee     Rs. 500 + GST       Renewal Fee     Rs. 500 + GST    Best Suited For  Shopping  Reward Type Reward Points Welcome Benefits  Get 500 SuperCoins on card activation, a year Lenskart Gold membership, and a free trial membership of Ganna Plus and Youtube Premium.",Rs. 500 + GST,Add to Compare,Add to Compare,"Get 500 SuperCoins on card activation, a year Lenskart Gold membership, and a free trial membership of Ganna Plus and Youtube Premium."
Axis Bank My Zone Easy Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2022/02/Axis-Bank-My-Zone-Easy-Credit-Card.webp,https://cardinsider.com/axis-bank/axis-my-zone-easy-credit-card/,Joining Fee     ₹500 + GST       Renewal Fee     ₹500 + GST    Best Suited For  Shopping  Reward Type Reward Points Welcome Benefits  NA,₹500 + GST,Add to Compare,Add to Compare,NA
SpiceJet Axis Bank Voyage Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2022/05/SpiceJet-Axis-Bank-Voyage-Credit-Card.webp,https://cardinsider.com/axis-bank/spicejet-axis-bank-voyage-credit-card/,"Joining Fee     Rs. 750 + GST       Renewal Fee     Rs. 750 + GST    Best Suited For  Travel  Reward Type Reward Points Welcome Benefits  SpiceJet flight voucher of Rs. 1,500 on completion of 2 transactions with 30 days of the card issuance.",Rs. 750 + GST,Add to Compare,Add to Compare,"SpiceJet flight voucher of Rs. 1,500 on completion of 2 transactions with 30 days of the card issuance."
SpiceJet Axis Bank Voyage Black Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2022/05/SpiceJet-Axis-Bank-Voyage-Black-Credit-Card.webp,https://cardinsider.com/axis-bank/spicejet-axis-bank-voyage-black-credit-card/,"Joining Fee     ₹2,000 + GST       Renewal Fee     ₹2,000 + GST    Best Suited For  Travel  Reward Type Reward Points Welcome Benefits  Get a SpiceJet flight voucher worth Rs. 4,000 and complimentary Spiceclub Gold membership.","₹2,000 + GST",Add to Compare,Add to Compare,"Get a SpiceJet flight voucher worth Rs. 4,000 and complimentary Spiceclub Gold membership."
Axis Bank Burgundy Private Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/08/Axis-Bank-Burgundy-Private-Credit-Card.webp,https://cardinsider.com/axis-bank/axis-bank-burgundy-private-credit-card/,"Joining Fee     Rs. 50,000 + GST (Nil for Burgundy Private Account Holders)       Renewal Fee     Rs. 50,000 + GST (Nil for Burgundy Private Account Holders)    Best Suited For  Movies | Travel | Dining  Reward Type Reward Points Welcome Benefits  Nil","Rs. 50,000 + GST (Nil for Burgundy Private Account Holders)",Following are the types of benefits that you can enjoy if you hold an Axis Bank Credit Card:,Following are the types of benefits that you can enjoy if you hold an Axis Bank Credit Card:,Nil
